run_id,data_dir,config_folder,split_group,label_code,csv_path,flac_path,avi_path,dir_path,csv_exists,flac_exists,avi_exists,csv_valid,flac_valid,avi_valid,csv_duration,flac_duration,avi_duration,csv_rows,flac_sample_rate,avi_fps,avi_frames,error_msg,has_all_modalities
08-17-22-0011-00,sampleData,sampleData,sampleData_sampleData,0,sampleData\08-17-22-0011-00\08-17-22-0011-00.csv,sampleData\08-17-22-0011-00\08-17-22-0011-00.flac,sampleData\08-17-22-0011-00\08-17-22-0011-00.avi,sampleData\08-17-22-0011-00,True,True,True,True,True,True,,,,0,,,0,[],True
08-17-22-0012-00,sampleData,sampleData,sampleData_sampleData,0,sampleData\08-17-22-0012-00\08-17-22-0012-00.csv,sampleData\08-17-22-0012-00\08-17-22-0012-00.flac,sampleData\08-17-22-0012-00\08-17-22-0012-00.avi,sampleData\08-17-22-0012-00,True,True,True,True,True,True,,,,0,,,0,[],True
08-17-22-0013-00,sampleData,sampleData,sampleData_sampleData,0,sampleData\08-17-22-0013-00\08-17-22-0013-00.csv,sampleData\08-17-22-0013-00\08-17-22-0013-00.flac,sampleData\08-17-22-0013-00\08-17-22-0013-00.avi,sampleData\08-17-22-0013-00,True,True,True,True,True,True,,,,0,,,0,[],True
08-17-22-0014-00,sampleData,sampleData,sampleData_sampleData,0,sampleData\08-17-22-0014-00\08-17-22-0014-00.csv,sampleData\08-17-22-0014-00\08-17-22-0014-00.flac,sampleData\08-17-22-0014-00\08-17-22-0014-00.avi,sampleData\08-17-22-0014-00,True,True,True,True,True,True,,,,0,,,0,[],True
08-17-22-0015-00,sampleData,sampleData,sampleData_sampleData,0,sampleData\08-17-22-0015-00\08-17-22-0015-00.csv,sampleData\08-17-22-0015-00\08-17-22-0015-00.flac,sampleData\08-17-22-0015-00\08-17-22-0015-00.avi,sampleData\08-17-22-0015-00,True,True,True,True,True,True,,,,0,,,0,[],True
08-17-22-0016-00,sampleData,sampleData,sampleData_sampleData,0,sampleData\08-17-22-0016-00\08-17-22-0016-00.csv,sampleData\08-17-22-0016-00\08-17-22-0016-00.flac,sampleData\08-17-22-0016-00\08-17-22-0016-00.avi,sampleData\08-17-22-0016-00,True,True,True,True,True,True,,,,0,,,0,[],True
08-17-22-0017-00,sampleData,sampleData,sampleData_sampleData,0,sampleData\08-17-22-0017-00\08-17-22-0017-00.csv,sampleData\08-17-22-0017-00\08-17-22-0017-00.flac,sampleData\08-17-22-0017-00\08-17-22-0017-00.avi,sampleData\08-17-22-0017-00,True,True,True,True,True,True,,,,0,,,0,[],True
08-17-22-0018-00,sampleData,sampleData,sampleData_sampleData,0,sampleData\08-17-22-0018-00\08-17-22-0018-00.csv,sampleData\08-17-22-0018-00\08-17-22-0018-00.flac,sampleData\08-17-22-0018-00\08-17-22-0018-00.avi,sampleData\08-17-22-0018-00,True,True,True,True,True,True,,,,0,,,0,[],True
08-17-22-0019-00,sampleData,sampleData,sampleData_sampleData,0,sampleData\08-17-22-0019-00\08-17-22-0019-00.csv,sampleData\08-17-22-0019-00\08-17-22-0019-00.flac,sampleData\08-17-22-0019-00\08-17-22-0019-00.avi,sampleData\08-17-22-0019-00,True,True,True,True,True,True,,,,0,,,0,[],True
08-18-22-0020-00,sampleData,sampleData,sampleData_sampleData,0,sampleData\08-18-22-0020-00\08-18-22-0020-00.csv,sampleData\08-18-22-0020-00\08-18-22-0020-00.flac,sampleData\08-18-22-0020-00\08-18-22-0020-00.avi,sampleData\08-18-22-0020-00,True,True,True,True,True,True,,,,0,,,0,[],True
